PMS Community,PMS Unit Type,Description,Beds,Baths,SqFt,Unit Count,Unit Type,Pricing Offset
_02935,_A1,_1bdrm 1bath,1,1,659,30,_1X1,0
_02935,_A2,_1bdrm 1ba plus,1,1,786,28,_1X1A,0
_02935,_A3,_1bdrm 1ba den,1,1,820,13,_1X1D,-250
_02935,_A4,_1bdrm 1ba office,1,1,1030,7,_1X1D,0
_02935,_A5,_1bdrm1ba formal dine,1,1,785,2,_1X1A,0
_02935,_A6,_1bdrm 1ba in bdrm,1,1,625,14,_1X1,-35
_02935,_B1,_2bdrm 2ba den,2,2,1342,2,_2X2A,330
_02935,_B2,_2bdrm 2ba,2,2,972,26,_2X2,0
_02935,_B3,_2bdrm 2ba plus,2,2,1238,14,_2X2A,0
_02935,_B4,_2bdrm 2ba penthouse,2,2,1342,2,_2X2A,330
_02935,_S1,_Studio,0,1,475,26,_STUD,-60
_02935,_S2,_Studio plus,0,1,503,55,_STUDA,0
_H140,_140.a1,_1x1,,,637,49,_1X1,0
_H140,_140.a1r,_1x1 Renovated,,,637,0,_1X1,0
_H140,_140.a2,_1x1,,,720,16,_1X1A,0
_H140,_140.b1,_2x1,,,862,93,_2X1,0
_H140,_140.b1pr,_2x1,,,862,9,_2X1,0
_H140,_140.b1r,_2x1 Renovated,,,862,2,_2X1,0
_H140,_140.c1,_2x2,,,972,70,_2X2,0
_H140,_140.c1pr,_2x2,,,972,8,_2X2,0
_H140,_140.c1r,_2x2 Renovated,,,972,8,_2X2,0
_H140,_140.c2,_2x2,,,1112,24,_2X2A,0
_H140,_140.c2pr,_2x2,,,1112,15,_2X2A,0
_H140,_140.c2r,_2x2 Renovated,,,1112,5,_2X2A,0
_H140,_140.d1,_3x2,,,1224,25,_3X2,0
_H140,_140.d1pr,_3x2,,,1224,10,_3X2,0
_H140,_140.d1r,_3x2 Renovated,,,1224,7,_3X2,0
_H140,_140.d2,_3x2,,,1257,31,_3X2A,0
_H140,_140.d2pr,_3x2,,,1257,5,_3X2A,0
_H140,_140.d2r,_3x2 Renovated,,,1257,13,_3X2A,0
_H140,_140.d3,_3x2,,,1342,3,_3X2TH,0
_H140,_140.d3pr,_3x2,,,1342,7,_3X2TH,0
_H140,_140.d3r,_3x2 Renovated,,,1342,0,_3X2TH,0
_H140,_140.l2l,_Lead2Lease Default Unit Type,,,0,0,_140.L2L,0
_H172,_172.a1,_1x1,,,702,56,_1X1,0
_H172,_172.a1r,_1x1,,,702,10,_1X1,0
_H172,_172.b1,_2x1,,,978,31,_2X1,0
_H172,_172.b1r,_2x1,,,978,5,_2X1,0
_H172,_172.b2,_2x2,,,1000,48,_2X2,0
_H172,_172.b2r,_2x2,,,1000,12,_2X2,0
_H172,_172.c1,_3x2,,,1200,30,_3X2,0
_H172,_172.l2l,_Lead2Lease Default Unit Type,,,0,0,_172.L2L,0
_H178,_178.a1,_1x1,,,729,7,_1X1,0
_H178,_178.a1r,_1x1 - Renovated,,,729,35,_1X1,0
_H178,_178.a2,_1x1,,,755,0,_1X1A,0
_H178,_178.a2r,_1x1 - Renovated,,,755,24,_1X1A,0
_H178,_178.a3,_1x1,,,804,2,_1X1A,0
_H178,_178.a3r,_1x1 - Renovated,,,804,14,_1X1A,0
_H178,_178.a4,_1x1,,,845,3,_1X1A,0
_H178,_178.a4r,_1x1 - Renovated,,,845,13,_1X1A,0
_H178,_178.b1,_2x1.5,,,1001,3,_2X1.5,0
_H178,_178.b1r,_2x1.5 - Renovated,,,1001,39,_2X1.5,0
_H178,_178.b2,_2x2,,,1112,2,_2X2,0
_H178,_178.b2r,_2x2 - Renovated,,,1112,34,_2X2,0
_H178,_178.b3,_2x2,,,1191,0,_2X2A,0
_H178,_178.b3r,_2x2 - Renovated,,,1191,12,_2X2A,0
_H178,_178.b4,_2x2,,,1235,0,_2X2A,0
_H178,_178.b4r,_2x2 - Renovated,,,1235,12,_2X2A,0
_H178,_178.C1,_178.C1,,,0,0,_3X2,0
_H178,_178.c1r,_3x2 - Renovated,,,1359,8,_3X2,0
_H178,_178.c2,_3x2,,,1403,0,_3X2,0
_H178,_178.c2r,_3x2 - Renovated,,,1403,8,_3X2,0
_H178,_178.l2l,_Lead2Lease Default Unit Type,,,0,0,_178.L2L,0
_H179,_179.a1,_1X1,,,708,14,_1X1,0
_H179,_179.a1d,_1x1 with Den,,,0,1,_1X1,35
