communityId,unitType,unitCategory,unitNumber,status,available,moveout,priorRent,sf,pmsUnitType,offset,amenities,amenityAmount,leaseTerm,baseRent,totalConcession,effectiveRent
571a64f63004565451453b6d,1X1 ,1X1,,,,,,,,,,,,,,
571a64f63004565451453b6d,1X1 ,1X1,234,Vacant Ready,4/22/16,4/10/16,1691,637,140.a1,0," 3rd Floor, Vaulted Ceiling",30,12,1495,0,1495
571a64f63004565451453b6d,1X1 ,1X1,1032,On Notice,5/11/16,4/30/16,1267,637,140.a1,0," 3rd Floor, Walk In Level",35,11,1560,0,1560
571a64f63004565451453b6d,1X1 ,1X1,923,On Notice,5/22/16,5/16/16,1336,637,140.a1,0," 2nd Floor, Bay Window",45,11,1580,0,1580
571a64f63004565451453b6d,1X1A ,1X1,,,,,,,,,,,,,,
571a64f63004565451453b6d,1X1A ,1X1,814,On Notice,5/25/16,5/15/16,1395,720,140.a2,0," 1st Floor, a2 - Crystal Adj, Private Entry, Subterrain, View Forest",55,11,1555,0,1555
571a64f63004565451453b6d,2X1 ,2X1,,,,,,,,,,,,,,
571a64f63004565451453b6d,2X1 ,2X1,2921,Vacant Ready,4/22/16,3/31/16,1460,862,140.b1pr,0," ADA Compliant, Renovated 2 BD",70,12,1875,0,1875
571a64f63004565451453b6d,2X1 ,2X1,2635,Vacant Unavailable,5/5/16,4/15/16,2334,862,140.b1,0," 3rd Floor, Bay Window, Walk In Level",45,11,1895,0,1895
571a64f63004565451453b6d,2X1 ,2X1,2541,On Notice,5/16/16,5/6/16,1509,862,140.b1,0," 4th Floor, Vaulted Ceiling",35,11,1900,0,1900
571a64f63004565451453b6d,2X2 ,2X2,,,,,,,,,,,,,,
571a64f63004565451453b6d,2X2 ,2X2,3036,Vacant Ready,4/22/16,7/31/15,1595,972,140.c1r,0," 3rd Floor, Premium Renovated 2bd, Vaulted Ceiling, View",400,12,2285,0,2285
571a64f63004565451453b6d,2X2 ,2X2,2612,On Notice,5/8/16,4/23/16,1585,972,140.c1,0," 1st Floor, View Pool",25,12,1910,0,1910
571a64f63004565451453b6d,2X2 ,2X2,427,On Notice,5/26/16,5/19/16,1740,972,140.c1,0," 2nd Floor, Bay Window",45,12,1930,0,1930
571a64f63004565451453b6d,2X2 ,2X2,2632,On Notice,5/27/16,5/19/16,1755,972,140.c1,0," 3rd Floor, Bay Window, View Pool, Walk In Level",60,12,1945,0,1945
571a64f63004565451453b6d,2X2 ,2X2,446,On Notice,6/4/16,5/25/16,1716,972,140.c1,0," 4th Floor, Vaulted Ceiling",35,12,1920,0,1920
571a64f63004565451453b6d,2X2A ,2X2,,,,,,,,,,,,,,
571a64f63004565451453b6d,2X2A ,2X2,122,Vacant Ready,4/22/16,3/31/16,2350,1112,140.c2r,0," 2nd Floor, Bay Window, c2 - Rainier Adj, Premium Renovated 2bd, View Forest, Walk In Level",470,12,2300,0,2300
571a64f63004565451453b6d,2X2A ,2X2,732,Vacant Unavailable,4/22/16,3/31/16,1985,1112,140.c2,0," 3rd Floor, c2 - Rainier Adj, Vaulted Ceiling, View Forest",90,12,1920,0,1920
571a64f63004565451453b6d,3X2 ,3X2,,,,,,,,,,,,,,
571a64f63004565451453b6d,3X2 ,3X2,2134,On Notice,5/12/16,5/2/16,1985,1224,140.d1pr,0," 3rd Floor, Bay Window, Renovated 3 BD, Walk In Level",145,12,2350,0,2350
571a64f63004565451453b6d,3X2A ,3X2,,,,,,,,,,,,,,
571a64f63004565451453b6d,3X2A ,3X2,2714,Vacant Ready,4/22/16,12/25/15,2810,1257,140.d2r,0," 1st Floor, Bay Window, d2 - Sammamish Adj, Forest View, Premium Renovated 3 BD",415,12,2735,0,2735
571a64f63004565451453b6d,3X2A ,3X2,1721,On Notice,5/14/16,4/30/16,1969,1257,140.d2,0," 2nd Floor, d2 - Sammamish Adj, Vaulted Ceiling, View Forest, Walk In Level",105,12,2425,0,2425
571a64f63004565451453b6d,3X2TH ,3X2,,,,,,,,,,,,,,
571a64f63004565451453b6d,3X2TH ,3X2,1213,Vacant Ready,4/22/16,3/31/16,2455,1342,140.d3,0," 1st Floor, d3 - Bainbridge Adj, Vaulted Ceiling, View Pool",235,12,2700,0,2700
571a64f83004565451453b79,1X1 ,1X1,,,,,,,,,,,,,,
571a64f83004565451453b79,1X1 ,1X1,7-Jan,Vacant Unavailable,4/22/16,4/7/16,1115,750,192.a1r,0," a1 - 1x1 Stella, End Unit, Premium Renovation 1BD, View-Partial",310,12,1515,0,1515
571a64f83004565451453b79,1X1 ,1X1,7-Jul,Vacant Ready,4/22/16,12/26/15,1010,750,192.a1r,0," a1 - 1x1 Stella, End Unit, Premium Renovation 1BD, View-Partial",270,12,1475,0,1475
571a64f83004565451453b79,1X1 ,1X1,1-Sep,Vacant Ready,4/22/16,1/15/16,1101,806,192.a2r,0," a2 - 1x1 Cleveland, Corner Unit, Parking - Garage, Premium Renovation 1BD, View-Partial",400,12,1605,0,1605
571a64f83004565451453b79,1X1 ,1X1,26-3,Vacant Ready,4/22/16,11/16/15,1205,750,192.a1r,0," a1 - 1x1 Stella, Premium Renovation 1BD, Top Floor",300,12,1505,0,1505
571a64f83004565451453b79,1X1 ,1X1,2-Oct,Vacant Unavailable,4/23/16,4/13/16,1230,750,192.a1r,0," a1 - 1x1 Stella, End Unit, Premium Renovation 1BD, View-Partial",310,12,1515,0,1515
571a64f83004565451453b79,1X1 ,1X1,7-May,On Notice,5/6/16,4/26/16,1122,750,192.a1r,0," a1 - 1x1 Stella, End Unit, Premium Renovation 1BD, View-Partial",310,11,1515,0,1515
571a64f83004565451453b79,1X1A ,1X1,,,,,,,,,,,,,,
571a64f83004565451453b79,1X1A ,1X1,8-Oct,Vacant Ready,4/22/16,1/1/16,1430,917,192.a3r,0," a3 - 1x1 Palamino, End Unit, Premium Renovation 1BD, Top Floor, View-Partial",440,12,1705,0,1705
571a64f83004565451453b79,1X1A ,1X1,3-Nov,Vacant Ready,4/22/16,2/2/16,1456,972,192.a4r,0," a4 - 1x1 Morgan, End Unit, Premium Renovation 1BD, Top Floor, View-Golf Course, View-Wetland/Marsh",525,12,1790,0,1790
571a64f83004565451453b79,1X1A ,1X1,23-5,Vacant Ready,4/22/16,11/17/15,1910,917,192.a3r,0," a3 - 1x1 Palamino, End Unit, Premium Renovation 1BD, Top Floor",430,12,1695,0,1695
571a64f83004565451453b79,1X1A ,1X1,25-5,Vacant Ready,4/22/16,10/15/15,1360,917,192.a3r,0," a3 - 1x1 Palamino, End Unit, Premium Renovation 1BD, Top Floor",430,12,1695,0,1695
571a64f83004565451453b79,1X1A ,1X1,33-1,Vacant Ready,4/22/16,2/8/16,1485,917,192.a3r,0," a3 - 1x1 Palamino, End Unit, Premium Renovation 1BD, Top Floor, View-Partial",440,12,1705,0,1705
571a64f83004565451453b79,1X1A ,1X1,8-Jun,On Notice,5/13/16,5/3/16,1346,917,192.a3r,0," a3 - 1x1 Palamino, End Unit, Premium Renovation 1BD, Top Floor, View",460,10,1725,0,1725
571a64f83004565451453b79,2X1 ,2X1,,,,,,,,,,,,,,
571a64f83004565451453b79,2X1 ,2X1,15-6,Vacant Unavailable,4/22/16,2/29/16,1276,937,192.b1r,0," End Unit, Premium Renovation 2x1BD, Subterrain 1, View-Partial",255,11,1645,0,1645
