"_id",effectiveRent,totalConcession,baseRent,leaseTerm,amenityAmount,offset,pmsUnitType,amenities,sf,priorRent,available,status,unitCategory,unitType,unitNumber,community,moveout
572b52b8300441083a6659e5,2115,0,2115,12,130,0,336.a2,"4th Floor, Granite Countertops, Juliette Balcony, Mountain View, Slate a02, Upgraded Appliances",843,1890,2016-06-15T00:00:00.000Z,On Notice,1X1,1X1,0408,571a65033004565451453b9c,2016-06-05T00:00:00.000Z
572b52b8300441083a6659e6,2065,0,2065,12,80,0,336.a2,"3rd Floor, Balcony, Granite Countertops, Slate a02, Upgraded Appliances",843,1605,2016-06-24T00:00:00.000Z,On Notice,1X1,1X1,0328,571a65033004565451453b9c,2016-06-14T00:00:00.000Z
572b52b8300441083a6659e7,2410,0,2410,12,100,0,336.a7,"3rd Floor, Balcony, Den Beech a09, Granite Countertops, Pool View, Upgraded Appliances",1036,2335,2016-04-25T00:00:00.000Z,Vacant Unavailable,1X1Den1,1X1DEN1,0359,571a65033004565451453b9c,2016-04-07T00:00:00.000Z
572b52b9300441083a6659e8,2410,0,2410,12,100,0,336.a7,"4th Floor, Balcony, Courtyard Views, Den Beech a09, Granite Countertops, Upgraded Appliances",1036,1999,2016-06-21T00:00:00.000Z,On Notice,1X1Den1,1X1DEN1,0409,571a65033004565451453b9c,2016-06-11T00:00:00.000Z
572b52b9300441083a6659e9,2100,0,2100,12,100,0,336.a8,"3rd Floor, Balcony, Den Dogwood7 a10, Granite Countertops, Pool View, Upgraded Appliances",1083,1999,2016-05-09T00:00:00.000Z,On Notice,1X1Den2,1X1DEN2,0371,571a65033004565451453b9c,2016-04-29T00:00:00.000Z
572b52b9300441083a6659ea,2090,0,2090,12,90,0,336.a8,"Balcony, Den Dogwood7 a10, First Floor, Granite Countertops, Pool View, Upgraded Appliances",1083,2309,2016-06-15T00:00:00.000Z,On Notice,1X1Den2,1X1DEN2,0177,571a65033004565451453b9c,2016-06-05T00:00:00.000Z
572b52b9300441083a6659eb,2100,0,2100,12,100,0,336.a8,"3rd Floor, Balcony, Den Dogwood7 a10, Granite Countertops, Pool View, Upgraded Appliances",1083,2209,2016-06-20T00:00:00.000Z,On Notice,1X1Den2,1X1DEN2,0377,571a65033004565451453b9c,2016-06-10T00:00:00.000Z
572b52b9300441083a6659ec,2090,0,2090,12,90,0,336.a8,"2nd Floor, Balcony, Den Dogwood7 a10, Granite Countertops, Pool View, Upgraded Appliances",1083,2209,2016-06-24T00:00:00.000Z,On Notice,1X1Den2,1X1DEN2,0239,571a65033004565451453b9c,2016-06-14T00:00:00.000Z
572b52b9300441083a6659ed,2860,0,2860,12,95,0,336.c2,"2nd Floor, Balcony, Courtyard Views, Granite Countertops, Mahogany b04, Upgraded Appliances",1213,0,2016-04-25T00:00:00.000Z,Vacant Unavailable,2X2,2X2,0217,571a65033004565451453b9c,2016-03-16T00:00:00.000Z
572b52b9300441083a6659ee,2790,0,2790,12,25,0,336.c2,"4th Floor, Balcony, Granite Countertops, Mahogany b04, North Side, Upgraded Appliances",1213,2275,2016-04-25T00:00:00.000Z,Vacant Unavailable,2X2,2X2,0418,571a65033004565451453b9c,2016-04-11T00:00:00.000Z
572b52b9300441083a6659ef,2840,0,2840,12,75,0,336.c2,"4th Floor, Balcony, Granite Countertops, Mahogany b06, Upgraded Appliances",1213,2145,2016-05-10T00:00:00.000Z,On Notice,2X2,2X2,0444,571a65033004565451453b9c,2016-04-30T00:00:00.000Z
572b52b9300441083a6659f0,2940,0,2940,12,175,0,336.c2,"4th Floor, Balcony, Granite Countertops, Mahogany b04, Mountain View, Upgraded Appliances",1213,2099,2016-05-21T00:00:00.000Z,On Notice,2X2,2X2,0468,571a65033004565451453b9c,2016-05-11T00:00:00.000Z
572b52b9300441083a6659f1,2870,0,2870,12,105,0,336.c2,"3rd Floor, Balcony, Courtyard Views, Granite Countertops, Mahogany b04, Upgraded Appliances",1213,2460,2016-06-08T00:00:00.000Z,On Notice,2X2,2X2,0374,571a65033004565451453b9c,2016-05-29T00:00:00.000Z
572b52b9300441083a6659f2,2855,0,2855,12,90,0,336.c2,"2nd Floor, Balcony, Granite Countertops, Mahogany b04, Pool View, Upgraded Appliances",1213,2525,2016-06-13T00:00:00.000Z,On Notice,2X2,2X2,0275,571a65033004565451453b9c,2016-06-03T00:00:00.000Z
572b52b9300441083a6659f3,2860,0,2860,12,95,0,336.c2,"Balcony, Courtyard Views, First Floor, Granite Countertops, Mahogany b04, Upgraded Appliances",1213,2460,2016-06-14T00:00:00.000Z,On Notice,2X2,2X2,0176,571a65033004565451453b9c,2016-06-04T00:00:00.000Z
572b52b7300441083a6659e1,2080,0,2080,12,120,0,336.a3,"2nd Floor, Agate a05, Balcony, Granite Countertops, Partial Mountain View, Upgraded Appliances",825,1799,2016-05-09T00:00:00.000Z,On Notice,1X1,1X1,0262,571a65033004565451453b9c,2016-04-29T00:00:00.000Z
572b52b7300441083a6659e2,2010,0,2010,12,50,0,336.a2,"First Floor, Granite Countertops, Slate a04, Upgraded Appliances, Walk Outs/Private Entrance",843,1777,2016-05-20T00:00:00.000Z,On Notice,1X1,1X1,0136,571a65033004565451453b9c,2016-05-13T00:00:00.000Z
572b52b7300441083a6659e3,2065,0,2065,12,95,0,336.a2,"First Floor, Hardwood Flooring, Slate a04, Walk Outs/Private Entrance",843,1735,2016-05-31T00:00:00.000Z,On Notice,1X1,1X1,0128,571a65033004565451453b9c,2016-05-21T00:00:00.000Z
572b52b7300441083a6659e4,2025,0,2025,12,55,0,336.a2,"3rd Floor, Granite Countertops, Juliette Balcony, Pool View, Slate a02, Upgraded Appliances",843,1799,2016-05-31T00:00:00.000Z,On Notice,1X1,1X1,0367,571a65033004565451453b9c,2016-05-24T00:00:00.000Z
572b52bc300441083a6659f8,2320,0,2320,12,20,0,336.c7,"2nd Floor, Balcony, Granite Countertops, North Side, Upgraded Appliances",1367,2625,2016-06-13T00:00:00.000Z,On Notice,2X2A,2X2A,0212,571a65033004565451453b9c,2016-06-03T00:00:00.000Z
572b52bc300441083a6659f9,2430,0,2430,12,-50,0,336.c6,"Amber b15, North Side",1347,2486,2016-05-23T00:00:00.000Z,On Notice,2X2B,2X2B,0124,571a65033004565451453b9c,2016-05-13T00:00:00.000Z
572b52bc300441083a6659fa,1975,0,1975,12,130,0,336.a1,"4th Floor, Granite Countertops, Juliette Balcony, Mountain View, Onyx a01, Slate a04, Upgraded Appliances",792,1900,2016-06-16T00:00:00.000Z,On Notice,Urban1BD,URBAN1BD,0406,571a65033004565451453b9c,2016-06-06T00:00:00.000Z
572b52bc300441083a6659fb,1905,0,1905,12,125,0,336.a1,"2nd Floor, Granite Countertops, Juliette Balcony, Mountain View, Onyx a01, Slate a04, Upgraded Appliances",792,1900,2016-08-15T00:00:00.000Z,On Notice,Urban1BD,URBAN1BD,0204,571a65033004565451453b9c,2016-08-08T00:00:00.000Z
572b52bc300441083a6659fc,1805,0,1805,12,25,0,336.a1,"2nd Floor, Granite Countertops, Juliette Balcony, Onyx a01, Slate a04, Upgraded Appliances",792,1799,2016-08-15T00:00:00.000Z,On Notice,Urban1BD,URBAN1BD,0254,571a65033004565451453b9c,2016-08-05T00:00:00.000Z
572b5297300441083a665918,1185,0,1185,12,-35,-100,316.a,"4th Floor, Balcony",670,0,2016-04-25T00:00:00.000Z,Vacant Ready,1x1,1X1,447,571a65023004565451453b95,2015-11-21T00:00:00.000Z
572b5297300441083a665919,1185,0,1185,12,-35,-100,316.a,"4th Floor, Balcony",670,0,2016-04-25T00:00:00.000Z,Vacant Ready,1x1,1X1,449,571a65023004565451453b95,2015-11-21T00:00:00.000Z
572b5297300441083a66591a,1440,0,1440,12,35,0,316.a2,"2nd Floor, Balcony, Inner Courtyard View, L-Shaped Kitchen",790,0,2016-04-25T00:00:00.000Z,Vacant Ready,1x1A,1X1A,231,571a65023004565451453b95,
572b5297300441083a66591b,1430,0,1430,12,-95,-250,316.c,"11 Ft. Ceilings, Balcony, Full Mountain View, Kitchen Island, NW Corner View, Walk Out Patio",900,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,002,571a65023004565451453b95,
572b5297300441083a66591c,1720,0,1720,12,195,0,316.c1,"13 Ft. Ceilings, Balcony, Courtyard View, Full Mountain View, Pantry, Walk Out Patio",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,135,571a65023004565451453b95,
572b5298300441083a66591d,1705,0,1705,12,180,0,316.c1,"13 Ft. Ceilings, Balcony, Full Mountain View, Pantry, Walk Out Patio",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,137,571a65023004565451453b95,
572b5298300441083a66591e,1630,0,1630,12,105,0,316.c1,"13 Ft. Ceilings, Balcony, Pantry, Walk Out Patio",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,140,571a65023004565451453b95,
572b5298300441083a66591f,1630,0,1630,12,105,0,316.c1,"13 Ft. Ceilings, Balcony, Pantry, Walk Out Patio",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,142,571a65023004565451453b95,
572b5298300441083a665920,1375,0,1375,12,-150,-250,316.c,"11 Ft. Ceilings, Balcony, Kitchen Island, Walk Out Patio",900,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,148,571a65023004565451453b95,
572b5298300441083a665921,1375,0,1375,12,-150,-250,316.c,"11 Ft. Ceilings, Balcony, Kitchen Island, Walk Out Patio",900,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,151,571a65023004565451453b95,
572b5298300441083a665922,1660,0,1660,12,135,0,316.c1,"2nd Floor, Balcony, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,214,571a65023004565451453b95,
572b5298300441083a665923,1660,0,1660,12,135,0,316.c1,"2nd Floor, Balcony, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,215,571a65023004565451453b95,
572b5298300441083a665924,1675,0,1675,12,150,0,316.c1,"2nd Floor, Balcony, Courtyard View, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,235,571a65023004565451453b95,
572b5298300441083a665925,1585,0,1585,12,60,0,316.c1,"2nd Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,240,571a65023004565451453b95,
572b5299300441083a665926,1585,0,1585,12,60,0,316.c1,"2nd Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,242,571a65023004565451453b95,
572b5299300441083a665927,1595,0,1595,12,70,0,316.c1,"3rd Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,307,571a65023004565451453b95,
572b5299300441083a665928,1700,0,1700,12,175,0,316.c1,"3rd Floor, Balcony, Full Mountain View, Pantry, Pool View",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,314,571a65023004565451453b95,
572b5299300441083a665929,1670,0,1670,12,145,0,316.c1,"3rd Floor, Balcony, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,315,571a65023004565451453b95,
572b5299300441083a66592a,1685,0,1685,12,160,0,316.c1,"3rd Floor, Balcony, Courtyard View, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,335,571a65023004565451453b95,
572b5299300441083a66592b,1670,0,1670,12,145,0,316.c1,"3rd Floor, Balcony, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,337,571a65023004565451453b95,
572b5299300441083a66592c,1595,0,1595,12,70,0,316.c1,"3rd Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,340,571a65023004565451453b95,
572b5299300441083a66592d,1595,0,1595,12,70,0,316.c1,"3rd Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,342,571a65023004565451453b95,
572b5299300441083a66592e,1405,0,1405,12,-120,-250,316.c,"3rd Floor, Balcony, Corner Unit",900,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,345,571a65023004565451453b95,
572b5299300441083a66592f,1330,0,1330,12,-195,-250,316.c,"3rd Floor, Balcony",900,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,348,571a65023004565451453b95,
572b5299300441083a665930,1330,0,1330,12,-195,-250,316.c,"3rd Floor, Balcony",900,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,351,571a65023004565451453b95,
572b529a300441083a665931,1595,0,1595,12,70,0,316.c1,"3rd Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,356,571a65023004565451453b95,
572b529a300441083a665932,1595,0,1595,12,70,0,316.c1,"3rd Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,357,571a65023004565451453b95,
572b529a300441083a665933,1605,0,1605,12,80,0,316.c1,"4th Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,401,571a65023004565451453b95,
572b529a300441083a665934,1605,0,1605,12,80,0,316.c1,"4th Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,407,571a65023004565451453b95,
572b529a300441083a665935,1440,0,1440,12,-85,-250,316.c,"4th Floor, Balcony, Full Mountain View, Kitchen Island",900,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,411,571a65023004565451453b95,
572b529a300441083a665936,1680,0,1680,12,155,0,316.c1,"4th Floor, Balcony, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,414,571a65023004565451453b95,
572b529b300441083a665937,1680,0,1680,12,155,0,316.c1,"4th Floor, Balcony, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,415,571a65023004565451453b95,
572b529b300441083a665938,1695,0,1695,12,170,0,316.c1,"4th Floor, Balcony, Courtyard View, Full Mountain View, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,435,571a65023004565451453b95,
572b529b300441083a665939,1605,0,1605,12,80,0,316.c1,"4th Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,440,571a65023004565451453b95,
572b529b300441083a66593a,1605,0,1605,12,80,0,316.c1,"4th Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,442,571a65023004565451453b95,
572b529b300441083a66593b,1605,0,1605,12,80,0,316.c1,"4th Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,456,571a65023004565451453b95,
572b529b300441083a66593c,1605,0,1605,12,80,0,316.c1,"4th Floor, Balcony, Pantry",1110,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2,2X2,457,571a65023004565451453b95,
572b529b300441083a66593d,1585,0,1585,12,60,0,316.c1,"2nd Floor, Balcony, Pantry",1110,1850,2016-05-11T00:00:00.000Z,On Notice,2x2,2X2,207,571a65023004565451453b95,2016-05-01T00:00:00.000Z
572b529b300441083a66593e,1880,0,1880,12,120,-95,316.c3,"11 Ft. Ceilings, Balcony, Corner Unit, Full Mountain View, Pantry",1161,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2A,2X2A,006,571a65023004565451453b95,
572b529b300441083a66593f,1885,0,1885,12,125,0,316.c2,"Balcony, Corner Unit, Pantry",1240,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2A,2X2A,105,571a65023004565451453b95,
572b529b300441083a665940,1995,0,1995,12,235,40,316.c4,"Corner Unit, Kitchen Island, Large Balcony, NW Corner View, Pantry, Partial Mountain View",1270,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2A,2X2A,109,571a65023004565451453b95,
572b529b300441083a665941,1895,0,1895,12,135,0,316.c2,"2nd Floor, Balcony, Corner Unit, Pantry",1240,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2A,2X2A,205,571a65023004565451453b95,
572b529c300441083a665942,1895,0,1895,12,135,0,316.c2,"2nd Floor, Balcony, Corner Unit, Pantry",1240,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2A,2X2A,206,571a65023004565451453b95,
572b529c300441083a665943,1875,0,1875,12,115,-95,316.c3,"2nd Floor, Balcony, Corner Unit, Full Mountain View, Pantry",1161,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2A,2X2A,216,571a65023004565451453b95,
572b529c300441083a665944,1970,0,1970,12,210,0,316.c2,"2nd Floor, Balcony, Corner Unit, Full Mountain View, Pantry",1240,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2A,2X2A,238,571a65023004565451453b95,
572b529c300441083a665945,1940,0,1940,12,180,0,316.c2,"2nd Floor, Balcony, Corner Unit, Pantry, Partial Mountain View",1240,0,2016-04-25T00:00:00.000Z,Vacant Ready,2x2A,2X2A,239,571a65023004565451453b95,
